Country,Last,Unit,Ticker,YF,Rate,eUSD,ISO,Less than Bitcoin,BTC Equivalent,Less than ETH,Less than Combined
China,282050000000000.0,CNY Billion,CNY,CNYUSD=X,0.13812155,38957183177500.0,CHN,False,59.30135730269621,False,False
United States,20673000000000.0,USD Billion,USD,USDUSD=X,1.0,20673000000000.0,USA,False,31.468829610521926,False,False
Euro Area,15116798000000.0,EUR Million,EUR,EURUSD=X,1.0919415,16506659083316.998,,False,25.12674706776359,False,False
Japan,1236404000000000.0,JPY Billion,JPY,JPYUSD=X,0.0069204154,8556429282221.601,JPN,False,13.02475766249272,False,False
Germany,3783000000000.0,EUR Billion,EUR,EURUSD=X,1.0919415,4130814694499.9995,DEU,False,6.288003858842968,False,False
United Kingdom,3061343000000.0,GBP Million,GBP,GBPUSD=X,1.2692288,3885544702278.4,GBR,False,5.914649261358541,False,False
Zimbabwe,3596778033000.0,USD Thousands,USD,USDUSD=X,1.0,3596778033000.0,ZWE,False,5.475083203567223,False,False
France,3039181000000.0,EUR Million,EUR,EURUSD=X,1.0919415,3318607859911.4995,FRA,False,5.051647331673864,False,False
South Korea,3771762000000000.0,KRW Billion,KRW,KRWUSD=X,0.0007675893,2895164153346.6,KOR,False,4.407073353463703,False,False
Hong Kong,16481548000000.0,HKD Million,HKD,HKDUSD=X,0.1276712,2104219011017.6,HKG,False,3.203081774340145,False,False
Italy,1879649000000.0,EUR Million,EUR,EURUSD=X,1.0919415,2052466748533.4998,ITA,False,3.1243035065477995,False,False
Taiwan,59226205000000.0,TWD Million,TWD,TWDUSD=X,0.032148138,1904012211556.29,TWN,False,2.8983232168440924,False,False
Canada,2419886000000.0,CAD Million,CAD,CADUSD=X,0.75505894,1827156558080.8398,CAN,False,2.781332094906093,False,False
Spain,1459932000000.0,EUR Million,EUR,EURUSD=X,1.0919415,1594160337977.9998,ESP,False,2.4266608643003784,False,False
Netherlands,1112712000000.0,EUR Million,EUR,EURUSD=X,1.0919415,1215016410348.0,NLD,False,1.849520843188178,False,False
Switzerland,990955000000.0,CHF Million,CHF,CHFUSD=X,1.1158847,1105791522888.5,CHE,False,1.6832566641773214,False,False
Brazil,5240987000000.0,BRL Million,BRL,BRLUSD=X,0.20834202,1091917818373.74,BRA,False,1.6621378500989723,False,False
Russia,86197000000000.0,RUB Billion,RUB,RUBUSD=X,0.011170526,962865829622.0,RUS,False,1.4656924844080954,False,False
Mexico,12464631134000.0,MXN Thousand,MXN,MXNUSD=X,0.058641464,730944217917.7401,MEX,False,1.112657042927953,False,True
India,58797000000000.0,INR Billion,INR,INRUSD=X,0.012206286,717692997942.0,IND,False,1.0924857865283928,False,True
Belgium,647200000000.0,EUR Million,EUR,EURUSD=X,1.0919415,706704538799.9999,BEL,False,1.0757589472490532,False,True
Thailand,22078000000000.0,THB Billion,THB,THBUSD=X,0.028549405,630313763590.0,THA,True,0.959475471754487,False,True
Saudi Arabia,2258623000000.0,SAR Million,SAR,SARUSD=X,0.26678762,602572654647.26,SAU,True,0.9172474337084361,False,True
Singapore,782399000000.0,SGD Million,SGD,SGDUSD=X,0.74063647,579473233491.53,SGP,True,0.8820850601559109,False,True
Vietnam,1.3402097e+16,VND Billion,VND,VNDUSD=X,4.2220814e-05,565847444646.958,VNM,True,0.8613436279758312,False,True
Indonesia,8332300000000000.0,IDR Billion,IDR,IDRUSD=X,6.657789e-05,554746952847.0,IDN,True,0.8444462504763937,False,True
Poland,2140972000000.0,PLN Million,PLN,PLNUSD=X,0.24628115,527281046277.8,POL,True,0.8026371306619172,False,True
Malaysia,2288145000000.0,MYR Million,MYR,MYRUSD=X,0.2144542,490702305459.0,MYS,True,0.7469562830735527,False,True
United Arab Emirates,1788400000000.0,AED Million,AED,AEDUSD=X,0.2723089,486997236760.00006,ARE,True,0.7413163577804599,False,True
Austria,433222000000.0,EUR Million,EUR,EURUSD=X,1.0919415,473053080512.99994,AUT,True,0.7200903007495818,False,True
Sweden,4773513000000.0,SEK Million,SEK,SEKUSD=X,0.09228924,440543886900.12,SWE,True,0.6706041944960538,False,True
Luxembourg,376000000000.0,EUR Billion,EUR,EURUSD=X,1.0919415,410570003999.99994,LUX,True,0.6249773859172497,False,True
Ireland,335227000000.0,EUR Million,EUR,EURUSD=X,1.0919415,366048273220.49994,IRL,True,0.5572055695448986,False,True
Turkey,9409262175000.0,TRY Thousand,TRY,TRYUSD=X,0.03851798,362425772271.4065,TUR,True,0.5516913304344175,False,True
